airline_name,date,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,recommended
adria-airways,2015-04-10,Economy,7.0,4.0,4.0,4.0,0.0,4.0,1
adria-airways,2015-01-05,Business Class,10.0,4.0,5.0,4.0,1.0,5.0,1
adria-airways,2014-09-14,Economy,9.0,5.0,5.0,4.0,0.0,5.0,1
adria-airways,2014-09-06,Business Class,8.0,4.0,4.0,3.0,1.0,4.0,1
adria-airways,2014-06-16,Economy,4.0,4.0,2.0,1.0,2.0,2.0,0
adria-airways,2014-06-08,Economy,9.0,4.0,4.0,3.0,3.0,4.0,1
adria-airways,2014-06-01,Economy,5.0,4.0,4.0,1.0,0.0,3.0,1
adria-airways,2014-05-10,Economy,9.0,5.0,5.0,4.0,3.0,4.0,1
adria-airways,2014-01-13,Business Class,8.0,4.0,3.0,4.0,1.0,4.0,1
adria-airways,2014-01-06,Economy,10.0,5.0,5.0,4.0,4.0,4.0,1
adria-airways,2013-10-22,Economy,9.0,4.0,4.0,4.0,4.0,4.0,1
adria-airways,2013-08-28,Economy,7.0,4.0,5.0,3.0,3.0,5.0,1
adria-airways,2013-08-19,Economy,8.0,4.0,4.0,4.0,0.0,4.0,1
adria-airways,2013-08-19,Business Class,7.0,3.0,3.0,4.0,1.0,4.0,1
adria-airways,2013-06-10,Business Class,7.0,2.0,5.0,4.0,0.0,4.0,1
adria-airways,2013-05-27,Economy,5.0,4.0,4.0,1.0,0.0,4.0,1
adria-airways,2012-10-08,Economy,9.0,4.0,5.0,4.0,0.0,2.0,1
adria-airways,2012-07-04,Economy,5.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,4.0,1
adria-airways,2012-06-17,Economy,5.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,4.0,1
adria-airways,2012-06-12,Economy,8.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,1.0,1
adria-airways,2012-02-16,Economy,9.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,4.0,1
adria-airways,2012-01-17,Economy,5.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,1.0,0
adria-airways,2011-09-20,Economy,9.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,4.0,1
adria-airways,2011-09-13,Business Class,9.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,4.0,1
adria-airways,2011-09-13,Business Class,10.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,4.0,1
adria-airways,2011-01-19,Economy,7.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,1.0,1
adria-airways,2011-01-07,Economy,5.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,1.0,0
adria-airways,2010-10-10,Economy,5.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,1.0,0
adria-airways,2009-11-25,Economy,6.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,1.0,1
adria-airways,2009-05-27,Economy,7.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,4.0,1
adria-airways,2009-05-26,Economy,5.0,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,4.0,1
aegean-airlines,2015-08-01,Business Class,10.0,5.0,5.0,5.0,1.8918918918918919,5.0,1
aegean-airlines,2015-07-28,Business Class,8.0,4.0,5.0,4.0,2.0,4.0,1
aegean-airlines,2015-07-26,Economy,9.0,4.0,5.0,4.0,1.8918918918918919,4.0,1
aegean-airlines,2015-07-21,Economy,8.0,4.0,4.0,3.566326530612245,1.8918918918918919,4.0,1
aegean-airlines,2015-07-21,Economy,8.0,4.0,5.0,4.0,1.8918918918918919,3.0,1
aegean-airlines,2015-07-12,Economy,10.0,4.0,5.0,4.0,1.8918918918918919,5.0,1
aegean-airlines,2015-07-12,Economy,10.0,4.0,5.0,5.0,1.8918918918918919,5.0,1
aegean-airlines,2015-07-07,Business Class,10.0,5.0,5.0,5.0,1.8918918918918919,5.0,1
aegean-airlines,2015-07-07,Economy,9.0,4.0,5.0,3.0,2.0,5.0,1
aegean-airlines,2015-06-20,Economy,8.0,4.0,5.0,4.0,1.8918918918918919,5.0,1
aegean-airlines,2015-06-19,Economy,8.0,4.0,5.0,5.0,1.8918918918918919,5.0,1
aegean-airlines,2015-06-17,Economy,10.0,5.0,5.0,4.0,1.8918918918918919,5.0,1
aegean-airlines,2015-06-16,Economy,9.0,4.0,4.0,4.0,1.8918918918918919,5.0,1
aegean-airlines,2015-06-12,Economy,9.0,4.0,4.0,4.0,1.8918918918918919,4.0,1
aegean-airlines,2015-06-04,Economy,10.0,5.0,5.0,4.0,3.0,4.0,1
aegean-airlines,2015-06-04,Economy,8.0,4.0,5.0,4.0,0.0,4.0,1
aegean-airlines,2015-05-31,Economy,10.0,4.0,5.0,5.0,3.0,4.0,1
aegean-airlines,2015-05-31,Economy,9.0,4.0,4.0,3.0,0.0,4.0,1
aegean-airlines,2015-05-31,Business Class,10.0,4.0,5.0,5.0,0.0,5.0,1
aegean-airlines,2015-05-27,Economy,7.0,4.0,4.0,3.0,2.0,5.0,1
aegean-airlines,2015-05-27,Economy,8.0,4.0,5.0,5.0,1.0,4.0,1
aegean-airlines,2015-05-20,Economy,10.0,5.0,5.0,5.0,3.0,5.0,1
aegean-airlines,2015-05-16,Economy,9.0,4.0,5.0,4.0,1.0,4.0,1
aegean-airlines,2015-04-14,Economy,8.0,3.0,4.0,4.0,3.0,4.0,1
aegean-airlines,2015-04-14,Economy,2.0,1.0,2.0,1.0,1.0,2.0,0
aegean-airlines,2015-04-03,Economy,7.0,3.0,4.0,4.0,3.0,4.0,1
aegean-airlines,2015-03-28,Economy,9.0,4.0,5.0,3.0,0.0,4.0,1
aer-lingus,2015-07-28,Economy,3.0,2.0,1.0,1.0,1.0,2.0,0
aegean-airlines,2015-03-23,Economy,7.0,5.0,4.0,2.0,0.0,4.0,1
aegean-airlines,2015-03-17,Economy,9.0,4.0,5.0,4.0,0.0,5.0,1
aegean-airlines,2015-03-04,Business Class,3.0,2.0,4.0,4.0,1.0,1.0,0
aer-lingus,2015-07-27,Economy,5.0,3.0,4.0,1.0,1.0,1.0,0
aer-lingus,2015-07-27,Economy,9.0,5.0,5.0,4.0,2.0676923076923077,5.0,1
aer-lingus,2015-07-26,Economy,10.0,5.0,5.0,2.9603658536585367,2.0676923076923077,5.0,1
aegean-airlines,2015-03-04,Business Class,3.0,2.0,4.0,3.0,0.0,2.0,0
aegean-airlines,2015-03-04,Economy,8.0,4.0,4.0,4.0,2.0,4.0,1
aegean-airlines,2015-02-24,Economy,10.0,2.0,5.0,4.0,4.0,4.0,1
aegean-airlines,2015-02-24,Economy,8.0,3.0,4.0,5.0,4.0,5.0,1
aer-lingus,2015-07-26,Economy,8.0,5.0,5.0,3.0,3.0,5.0,1
aer-lingus,2015-07-25,Economy,9.0,4.0,5.0,2.9603658536585367,2.0676923076923077,4.0,1
aer-lingus,2015-07-22,Economy,2.0,2.0,2.0,1.0,2.0676923076923077,1.0,0
aegean-airlines,2015-02-18,Business Class,9.0,3.0,4.0,5.0,0.0,5.0,1
aegean-airlines,2015-02-18,Economy,7.823788546255507,4.0,3.0,2.0,3.0,3.0,0
aegean-airlines,2015-01-30,Economy,7.0,4.0,4.0,4.0,0.0,4.0,1
aer-lingus,2015-07-21,Economy,1.0,2.0,2.0,2.9603658536585367,2.0676923076923077,3.0,0
aer-lingus,2015-07-20,Economy,1.0,1.0,1.0,1.0,1.0,1.0,0
aegean-airlines,2014-12-29,Economy,7.0,4.0,4.0,4.0,2.0,4.0,1
aegean-airlines,2014-12-29,Economy,7.0,2.0,5.0,5.0,1.0,4.0,1
