airport_name,date,overall_rating,queuing_rating,terminal_cleanliness_rating,airport_shopping_rating,recommended
aalborg-airport,2014-02-11,9.0,5.0,5.0,4.0,1
aalborg-airport,2013-02-13,9.0,5.0,4.0,4.0,1
aalborg-airport,2012-08-07,9.0,5.0,5.0,4.0,1
aalborg-airport,2011-05-22,5.0,5.0,5.0,3.0,0
aalborg-airport,2010-08-04,4.0,5.0,4.75,3.75,0
aalborg-airport,2009-03-26,5.0,5.0,4.75,3.75,0
aalborg-airport,2008-06-12,4.0,5.0,4.75,3.75,0
aalborg-airport,2008-06-10,1.0,5.0,4.75,3.75,0
aalborg-airport,2005-08-28,5.75,5.0,4.75,3.75,0
aalborg-airport,2004-02-17,5.75,5.0,4.75,3.75,0
aberdeen-airport,2015-07-21,2.0,1.0,3.0,1.0,0
aberdeen-airport,2015-06-24,8.0,2.0,4.0,3.0,1
aberdeen-airport,2015-04-01,1.0,1.0,3.0,2.0,0
aberdeen-airport,2015-03-24,2.0,4.0,4.0,3.0,0
aberdeen-airport,2014-12-21,2.0,3.0,3.0,2.0,0
aberdeen-airport,2014-12-21,3.1818181818181817,1.0,3.0,0.0,0
aberdeen-airport,2014-11-12,1.0,2.0,3.0,1.0,0
aberdeen-airport,2014-10-05,3.0,2.0,3.0,2.0,0
aberdeen-airport,2014-09-06,2.0,2.0,3.0,2.0,0
aberdeen-airport,2014-08-26,1.0,1.0,3.0,2.0,0
aberdeen-airport,2014-07-20,3.1818181818181817,1.0,4.0,2.0,0
aberdeen-airport,2014-06-12,3.0,3.0,4.0,2.0,0
aberdeen-airport,2013-09-02,3.1818181818181817,1.0,4.0,1.0,0
aberdeen-airport,2013-04-24,3.1818181818181817,3.0,4.0,1.0,0
aberdeen-airport,2013-03-26,3.0,3.0,5.0,4.0,0
aberdeen-airport,2012-09-28,2.0,3.0,4.0,3.0,0
aberdeen-airport,2012-05-29,2.0,1.0,3.0,2.0,0
aberdeen-airport,2012-04-24,8.0,4.0,3.0,3.0,1
aberdeen-airport,2012-04-22,7.0,4.0,5.0,4.0,1
aberdeen-airport,2012-02-15,5.0,1.0,3.0,2.0,0
aberdeen-airport,2011-12-28,3.1818181818181817,1.0,1.0,1.0,0
aberdeen-airport,2011-12-23,3.1818181818181817,0.0,0.0,0.0,0
aberdeen-airport,2011-07-21,4.0,5.0,5.0,3.0,0
aberdeen-airport,2010-04-02,1.0,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2009-12-28,3.0,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2008-06-12,2.0,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2007-07-14,4.0,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2007-05-19,4.0,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2007-03-24,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2006-11-15,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2006-10-26,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2006-10-11,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2006-09-15,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2006-08-25,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2006-08-13,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2006-03-05,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2006-01-29,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2005-11-30,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2005-10-20,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2005-04-23,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2005-03-26,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2004-10-05,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
aberdeen-airport,2004-07-28,3.1818181818181817,2.130434782608696,3.347826086956522,2.0,0
abidjan-airport,2014-06-30,8.0,5.0,5.0,2.0,1
abidjan-airport,2006-12-20,8.0,5.0,5.0,2.0,0
abidjan-airport,2005-05-28,8.0,5.0,5.0,2.0,0
abidjan-airport,2005-05-14,8.0,5.0,5.0,2.0,0
abu-dhabi-airport,2015-07-19,2.0,1.0,3.0,5.0,0
abu-dhabi-airport,2015-07-14,4.0,2.0,2.0,2.260869565217391,0
abu-dhabi-airport,2015-07-04,4.0,4.0,2.0,1.0,0
abu-dhabi-airport,2015-07-03,7.0,4.0,4.0,3.0,1
abu-dhabi-airport,2015-06-15,4.0,2.0,3.0,1.0,0
abu-dhabi-airport,2015-06-15,3.6923076923076925,1.0,2.0,2.0,0
abu-dhabi-airport,2015-06-15,3.6923076923076925,3.0,3.0,1.0,0
abu-dhabi-airport,2015-05-20,4.0,3.0,2.0,3.0,0
abu-dhabi-airport,2015-05-06,8.0,5.0,4.0,5.0,1
abu-dhabi-airport,2015-05-02,5.0,3.0,3.0,2.0,0
abu-dhabi-airport,2015-04-14,3.6923076923076925,1.0,3.0,2.0,0
abu-dhabi-airport,2015-03-30,7.0,3.0,3.0,3.0,1
abu-dhabi-airport,2015-03-25,2.0,4.0,4.0,1.0,0
abu-dhabi-airport,2015-03-24,1.0,3.0,1.0,1.0,0
abu-dhabi-airport,2015-03-17,3.6923076923076925,1.0,2.0,1.0,0
abu-dhabi-airport,2015-02-24,3.6923076923076925,1.0,0.0,0.0,0
abu-dhabi-airport,2015-02-24,3.6923076923076925,1.0,3.0,4.0,0
abu-dhabi-airport,2015-02-18,2.0,1.0,2.0,1.0,0
abu-dhabi-airport,2015-02-12,3.6923076923076925,1.0,3.0,2.0,0
abu-dhabi-airport,2015-01-19,2.0,1.0,3.0,2.0,0
